2023.09.25 08:37:50 INFO  web[][o.s.s.s.LogServerId] Server ID: 147B411E-AYq8adpdWnd8NwcpNZu-
2023.09.25 08:37:50 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2023.09.25 08:37:50 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action saml/validation_init
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2023.09.25 08:37:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2023.09.25 08:37:52 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2023.09.25 08:37:52 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2023.09.25 08:37:52 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2023.09.25 08:37:52 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2023.09.25 08:37:52 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2023.09.25 08:37:52 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2023.09.25 08:37:52 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2023.09.25 08:37:52 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@2fb0a71b [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@52a8d822 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@5b6a6436 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@5208f005 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@78aa1d20 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.SamlValidationRedirectionFilter@6c57a3df [pattern=UrlPattern{inclusions=[/oauth2/callback/saml], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@649431b7 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@71897df8 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@22d21977 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@27520b05 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@24180adf [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationInitAction@3f2cef2b [pattern=UrlPattern{inclusions=[/saml/validation_init], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationAction@6b2fe464 [pattern=UrlPattern{inclusions=[/saml/validation], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@59622df4 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2023.09.25 08:37:52 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@8fa245c [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.09.25 08:37:53 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2023.09.25 08:37:53 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2023.09.25 08:37:53 INFO  web[][o.s.s.p.Platform] Web Server is operational
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'config' version : 1.2.0.267 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.51.0.59060 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.8.0.3166 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.11.0.3905 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'iac' version : 1.11.0.2847 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.3.0.1538 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'java' version : 7.16.0.30901 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 9.13.0.20537 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 2.12.0.1956 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.27.1.9352 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'python' version : 3.24.1.11916 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.11.0.3905 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.11.0.3905 has not been found on the update center.
2023.09.25 08:38:32 INFO  web[AYrKTxpQ2LP2F0GyAAAP][o.s.u.c.UpdateCenter] The plugin 'text' version : 2.0.2.1090 has not been found on the update center.
